VoterIDNum|FirstName|LastName|Address|City|State|Zip|Phone|LastID|2012PresGeneral|2012PresPrimary|2010MidtermGeneral|2010MidtermPrimary|2008PresGeneral|2008PresPrimary|2006MidtermGeneral|2006MidtermPrimary|
"983E26E6-FD0C-92A6-B65C-B0884D82C497|Kennan|Navarro|P.O. Box 977, 3998 Aliquet Street|Gaithersburg|MD|20882|(301) 465-2277|1|0|1|0|0|1|1|1|1|"
"BE256173-FC1D-8C8B-8265-5ECF0945A862|Simon|Fletcher|609-5833 Amet, Rd.|Boyds|MD|20841|(301) 434-1257|4|1|1|1|0|0|1|0|1|"
2A5FAFF8-2A0B-2973-EBDC-F3EBD4A6D12A|Kyle|Hurley|Ap #841-5789 Tincidunt Av.|Gaithersburg|MD|20877|(301) 922-7835|1|0|0|1|1|1|1|1|1|
"9F0EB09C-F318-0B4A-A00D-A93B1B8ACFC6|Geraldine|Tanner|P.O. Box 695, 1529 Feugiat. St.|Spencerville|MD|20868|(301) 860-2226|1|1|0|1|1|1|0|1|0|"
"605D47B0-28BD-4054-A189-B29185F5B5B9|Germaine|Kline|P.O. Box 308, 7956 Pede. St.|Laurel|MD|20707|(301) 350-6219|4|0|0|1|1|0|1|0|0|"
"7DA0A199-F204-B8DE-4E6F-FC7E211ADFB7|Yolanda|Alvarez|P.O. Box 756, 2269 Cras St.|Silver Spring|MD|20906|(301) 868-0818|4|0|0|0|1|1|0|0|0|"
"B3325165-A670-1E36-EAF0-3DA5D2BACFB3|Garrison|Holloway|Ap #330-708 Eu, Avenue|Ashton|MD|20861|(301) 714-5455|3|1|0|0|0|1|0|1|0|"
8133C8B6-D222-65C9-DE72-2D858540E687|Brennan|Wise|Ap #825-3096 Semper. Ave|Sandy Spring|MD|20860|(301) 664-6786|4|0|1|1|0|1|0|1|0|
1AE7C088-A28A-BBDD-FB16-73D2C58C47EB|Stone|Douglas|Ap #621-348 Pharetra Street|Clarksburg|MD|20871|(301) 144-6960|2|1|0|1|0|1|0|1|0|
32198924-1992-4B07-8EB0-EC9B737FF80A|Desiree|Baxter|5506 Amet Road|Damascus|MD|20872|(301) 264-7165|2|0|0|1|1|1|0|1|1|
"CE8A819A-B656-7691-E379-11D62527C1D7|Rashad|Knapp|895-5772 At, Rd.|Highland|MD|20777|(301) 709-5859|1|1|1|0|1|1|1|0|0|"
CC988319-ABEE-5957-002C-3C42DA988C94|Nita|Schmidt|208-929 Aliquet Road|Boyds|MD|20841|(301) 661-3801|1|1|1|0|1|1|1|0|1|
D446FCF6-F751-0952-6833-B4A1663C6A52|Donovan|Mcclain|4874 Pellentesque Av.|Woodbine|MD|21797|(301) 155-8882|4|0|1|0|1|0|0|1|0|
"3F443DD0-3D38-76D2-7CC2-E5D7A0638620|Nadine|Paul|P.O. Box 884, 9544 Nec Rd.|Dickerson|MD|20842|(301) 243-5927|3|0|1|1|1|0|0|1|0|"
"CD3135C5-44C6-4BC0-76D6-AA2BEE4CB5D3|Zachery|Mccormick|P.O. Box 331, 6007 Leo. Av.|Rockville|MD|20853|(301) 596-3473|5|1|0|1|0|1|1|0|0|"
501E0B9B-FE1A-8391-0F67-1B81393FDA02|Hannah|Burnett|7276 Nec Avenue|Bethesda|MD|20817|(301) 436-0657|1|1|1|0|0|0|1|0|1|
1EDF1D24-6613-2F11-31D7-CC49A16534E6|Hunter|Wheeler|4724 Dolor Rd.|Clarksburg|MD|20871|(301) 669-7884|2|1|1|0|0|1|0|0|0|
9D68FBEE-6496-04FD-F2F7-5D36B22F4700|Inga|Collier|569-7965 Aliquet St.|Laurel|MD|20707|(301) 274-6988|4|0|1|1|0|1|0|0|1|
32C9334A-ACB1-73FF-1103-26B0AB3D902C|Erica|Kent|Ap #837-5243 Metus St.|Sandy Spring|MD|20860|(301) 879-3707|2|1|0|1|0|0|1|0|1|
#N/A
439B3C4E-5236-8554-FBE2-035BDCFDF24B|Quemby|Sullivan|324-2144 Taciti St.|Clarksburg|MD|20871|(301) 667-2734|1|1|0|1|0|0|1|1|1|
3A2B2AA1-43C6-4DBE-74F4-CF1782AD3276|Orson|Hines|989-7480 Nunc Avenue|Chevy Chase|MD|20815|(301) 271-8234|2|0|0|0|0|0|1|1|0|
BB5D4037-C754-92D1-CD4B-8605B61A302A|Derek|Holden|435-3628 Mattis Rd.|Gaithersburg|MD|20899|(301) 796-5519|5|0|0|0|1|1|1|0|1|
"255918C5-30E7-1B89-61AF-9F9F8D6F6BDA|Yen|Bush|P.O. Box 684, 9804 Lacinia. Street|Germantown|MD|20874|(301) 258-3715|2|1|0|0|1|0|1|0|0|"
3BCD1E59-3CEC-EDA5-F74B-10B360E89971|Burton|Parrish|3316 Tortor Rd.|Boyds|MD|20841|(301) 222-0705|3|1|1|1|1|1|1|1|1|
"AB512DCA-2A51-A31D-6B1C-A53656409463|Addison|Landry|P.O. Box 982, 9444 Fermentum Av.|Bethesda|MD|20814|(301) 542-6136|4|1|0|1|1|1|0|1|0|"
BF0152DC-3C79-7F02-EA7D-1B83615A2673|Marcia|Vazquez|176-4318 Est. Av.|Highland|MD|20777|(301) 127-4691|2|0|1|0|0|1|0|1|1|
037804EC-816E-262E-5512-7F2452288C8E|Rashad|Cruz|Ap #224-7887 Nulla Road|Mount Airy|MD|21771|(301) 870-9394|3|1|1|1|0|1|0|0|1|
4BF5736F-9803-1AB7-6232-7C00608E33D9|Xanthus|Sutton|Ap #166-9397 Urna St.|Gaithersburg|MD|20882|(301) 217-9652|2|1|0|0|0|1|1|1|0|
"DA372137-9854-4EC5-02A9-AFF1F3B5F197|Galena|Barrera|P.O. Box 413, 1612 Nec Rd.|Gaithersburg|MD|20882|(301) 412-2824|3|0|1|1|1|0|0|1|1|"
"57DBDE13-E655-224F-FDE2-483BED9E790D|Sylvia|Deleon|P.O. Box 479, 7876 Tellus Ave|Silver Spring|MD|20905|(301) 889-7355|4|1|0|1|1|0|0|0|0|"
BED7267E-13FF-80D9-D3F7-3F87AD83B262|Dai|Estrada|8448 Odio Rd.|Beallsville|MD|20839|(301) 865-5447|3|1|1|0|0|1|1|1|1|
01309969-7F9F-BA46-EB73-1750ABFC574F|Cameron|Pollard|9455 Tellus. Road|Burtonsvlile|MD|20866|(301) 111-6033|2|1|1|0|0|0|1|1|0|
0FD265E2-0C73-97B0-F05B-129D3117E30D|Morgan|Henson|Ap #802-7364 Molestie. Avenue|Silver Spring|MD|20902|(301) 565-7464|5|0|1|1|0|0|1|1|0|
"D1077CC5-8941-A589-7CB3-29118090A7BC|Pascale|Hyde|P.O. Box 546, 899 Nec Rd.|Gaithersburg|MD|20899|(301) 599-3610|3|1|0|0|1|1|1|1|0|"
66EA4459-BADC-D99D-277A-A01847860FB0|Amy|Williams|Ap #377-1920 Phasellus Rd.|Silver Spring|MD|20902|(301) 529-2511|1|1|1|1|1|0|1|0|1|
"B6A64416-52B1-9A81-7274-9C3A3F0ED8E1|Jesse|Ayers|706-3111 Id, Road|Germantown|MD|20876|(301) 429-3236|3|1|0|0|0|1|0|1|1|"
"C7F12632-0050-29EE-00B8-4B7202F53B40|Hu|Hopper|P.O. Box 439, 8743 Convallis St.|Silver Spring|MD|20906|(301) 803-3453|1|1|1|1|1|1|0|0|0|"
"5978A5DF-916C-461D-FB3A-499DC5B126B1|Ray|Petty|P.O. Box 415, 849 Dolor Av.|Glen Echo|MD|20812|(301) 559-6153|2|1|0|0|1|1|1|1|0|"
"0ADCB20A-080C-592F-67FC-3F7418B27436|Teegan|Stephens|P.O. Box 661, 518 Nunc Road|Germantown|MD|20874|(301) 277-2100|1|0|0|1|1|1|1|0|0|"
"97D537F6-A04D-107D-44F8-5796B6F0867E|Kristen|Mccullough|P.O. Box 418, 2142 Risus, Rd.|Silver Spring|MD|20906|(301) 526-4276|4|0|1|1|0|1|1|1|0|"
52AFEF53-46D8-B624-E569-6620DE52F65B|Marah|Bruce|Ap #398-8631 Urna. Street|Spencerville|MD|20868|(301) 336-6686|5|0|0|0|0|1|1|0|0|
DBDE0DE1-38AA-F579-419C-EC19B3AD02B3|Aiko|Sanchez|Ap #888-2153 Metus. Road|Dickerson|MD|20842|(301) 774-4040|3|0|1|0|1|1|0|1|0|
20FFE9AA-B5FC-EA42-51B0-B7B00CB03653|Mary|Rojas|783-2340 Nisl. Ave|Gaithersburg|MD|20878|(301) 576-4553|4|1|0|1|0|1|1|0|1|
"D8CE9661-5D68-E1A8-E088-00054E78D82E|Anthony|Hampton|Ap #949-3519 Sapien, Road|Rockville|MD|20853|(301) 784-7658|1|0|1|0|1|0|0|1|0|"
354426EA-8AE5-74E6-CF3C-77E9F7BFDC3B|Moses|Sosa|6626 Dapibus Ave|Silver Spring|MD|20910|(301) 819-0914|3|0|0|1|0|1|1|0|1|
"19BDD3DD-1762-0610-9EE5-C2260B4B7AC3|Astra|Cross|Ap #699-4301 Et, Road|Bethesda|MD|20816|(301) 541-0904|2|1|0|0|1|0|0|0|1|"
"8CE28302-0FE1-65F5-EAF9-BE3D25361B0E|Kelly|Obrien|4349 Eget, Ave|Boyds|MD|20841|(301) 275-7380|1|0|0|0|1|0|0|1|1|"
5444D44A-FB79-CC56-59F7-86DF9B5CE3CE|Mason|Trevino|Ap #617-2840 Neque. St.|Rockville|MD|20852|(301) 915-0364|3|0|0|1|0|1|0|1|0|
178A77C0-45A2-E4D8-A784-A8CA7218DC0F|Camden|Hull|4407 Risus. St.|Brinklow|MD|20862|(301) 539-4913|5|0|1|1|0|0|1|1|1|
798AE4D0-86D4-88EC-FB83-F2647D7A0AEF|Cain|Clark|Ap #894-1624 Nibh Road|Gaithersburg|MD|20899|(301) 507-8584|4|0|1|0|1|1|0|1|1|
F6050943-D19D-E57A-8103-350C5E53E1FC|Paul|Peterson|719-3481 Vulputate Av.|Cabin John|MD|20818|(301) 189-4595|5|0|1|0|1|1|1|0|1|
F8054006-74AF-5FF4-C7EA-FBBBD3C2907C|Jonas|Briggs|5817 Quisque Rd.|Gaithersburg|MD|20877|(301) 862-1142|2|0|1|1|0|0|1|1|0|
57A87F52-4C0B-051A-C028-C3E175D7BDF0|Callie|Alvarado|5872 Lectus. Rd.|Chevy Chase|MD|20815|(301) 830-7809|2|0|1|1|0|1|1|0|0|
807AE9B5-EB99-A0AF-B6E7-CFE622E72389|Vivien|Garcia|Ap #170-219 Nulla St.|Germantown|MD|20876|(301) 195-6356|1|1|1|1|0|1|0|0|1|
BFE32635-B6CC-4520-5174-554A14FE31EF|Carter|Morris|946-3294 Nec Street|Barnesville|MD|20838|(301) 402-5249|5|0|1|0|1|1|1|0|1|
A3FCA3FD-762C-6273-E3C9-D00965666929|Noel|Strong|9734 Sem Rd.|Bethesda|MD|20814|(301) 513-8531|5|0|0|1|0|0|0|1|1|
"3EE1B516-655B-F30A-E1E3-383524115CAC|Christian|Conrad|P.O. Box 488, 2365 Tempus Rd.|Sandy Spring|MD|20860|(301) 139-9098|4|0|1|0|1|1|0|1|0|"
"044283F5-5222-3491-AA2F-DCBF7E14A716|Kenneth|Mccoy|P.O. Box 827, 6883 Tempus, Road|Burtonsvlile|MD|20866|(301) 563-5752|1|1|1|0|0|0|0|0|0|"
B2B2E0F6-0696-B8D9-EAE8-F1F788AFA73C|Carson|Delgado|697-3125 Vulputate Road|Laurel|MD|20707|(301) 147-8797|3|0|1|0|1|0|0|1|0|
"395B402D-1243-D7B1-2B9B-3ED796696613|Sloane|Hess|P.O. Box 670, 4765 Gravida Avenue|Gaithersburg|MD|20878|(301) 457-9585|4|1|1|0|0|1|1|1|0|"
15CB04A1-97D8-7D80-8919-ECCE4EEEA55B|Faith|Rich|Ap #895-7232 Pulvinar Ave|Barnesville|MD|20838|(301) 192-2511|1|1|1|1|0|1|1|1|0|
D59585C2-7E11-B9E8-D07E-91F6C792DED5|Len|Anthony|Ap #423-7235 Nec Road|Damascus|MD|20872|(301) 578-6571|1|0|1|0|1|0|0|0|1|
26774320-FCC1-8092-A8D0-F4C276994297|Mia|Bowers|Ap #208-3546 Rutrum St.|Bethesda|MD|20889|(301) 611-2604|3|0|0|0|1|0|1|0|1|
EF0869B6-BC30-F806-4EAD-46A046BD681D|Ivan|Garcia|4191 Lorem Avenue|Gaithersburg|MD|20878|(301) 565-7117|1|0|1|0|1|0|0|0|1|
084B9F6A-FAF3-96A6-9E82-F3EACB28E513|Carolyn|Joyce|2876 Egestas St.|Silver Spring|MD|20910|(301) 681-7972|5|1|1|0|1|0|0|0|1|
84278E18-95B3-A7CD-5973-24CB037DD16F|Hammett|Davenport|8903 Consequat St.|Chevy Chase|MD|20815|(301) 460-0770|4|0|1|0|0|0|0|0|0|
"73FAE19A-9127-DC75-5A74-5B1B0CC6C316|Renee|Chandler|956-8334 Urna, Avenue|Silver Spring|MD|20906|(301) 921-2263|4|1|0|0|0|0|1|0|1|"
"94654C1B-9FDF-3874-3A52-B725C146D652|Len|Jordan|274-3847 Purus, Rd.|Rockville|MD|20850|(301) 640-4726|5|0|0|0|1|1|0|1|1|"
"587926E7-6E2A-DFF8-9A71-E8E138E605FF|Grace|Benson|P.O. Box 115, 7997 Morbi Road|Brinklow|MD|20862|(301) 990-6957|1|1|0|0|1|1|0|1|0|"
0896663E-BC46-24B3-9A82-CD355633168B|Mohammad|Kemp|2408 Primis Ave|Bethesda|MD|20892|(301) 278-7034|2|0|1|1|0|0|0|1|0|
"9ACD39A8-C474-7AE0-379F-D41421201F22|Colt|Duffy|P.O. Box 459, 1302 Eu St.|Olney|MD|20832|(301) 814-2875|3|0|1|1|1|1|1|0|0|"
A6847E2F-CB96-300F-D0F2-1FC46CE07AB9|Aphrodite|Barton|9184 Lacinia Avenue|Rockville|MD|20850|(301) 291-3691|5|1|1|0|0|1|0|0|1|
544CF42E-A05D-1219-66B7-D1E8912CC5DF|Brenna|Foster|9157 Integer Ave|Silver Spring|MD|20902|(301) 205-3210|4|1|0|1|1|1|1|0|0|
BA1A120C-2FC8-3D4E-421C-A46D6031D0CC|Tyrone|Ratliff|790-2508 Libero. St.|Spencerville|MD|20868|(301) 125-7618|1|0|1|1|1|0|1|1|0|
"44CAEC36-5428-7E68-3037-5E0271BAB98C|Barbara|Winters|1975 Vulputate, Road|Takoma Park|MD|20912|(301) 133-0703|2|0|1|0|0|1|0|1|0|"
"1C055449-942B-9FF2-0093-58F6C4D2F706|Rowan|Love|P.O. Box 759, 9235 Integer St.|Germantown|MD|20874|(301) 422-3920|1|1|1|1|0|0|0|0|0|"
C2AFDD86-7911-6A20-30BF-B63C60D00B9B|Ferdinand|Case|Ap #166-1152 Egestas. Street|Gaithersburg|MD|20877|(301) 740-9787|5|1|1|1|0|0|0|1|1|
"ED16B9C1-CC9E-FD0D-7961-A9BDDB8B5569|Leah|York|P.O. Box 120, 360 Sapien, Avenue|Gaithersburg|MD|20899|(301) 714-9841|4|1|0|1|1|1|1|1|1|"
"AA8551DC-8E99-E5FA-909D-B130A0A55794|Maryam|Baird|P.O. Box 770, 8224 Etiam St.|Brookeville|MD|20833|(301) 497-0037|4|1|0|0|0|0|1|0|1|"
D0B2216F-91AC-5557-1262-D7F86F216AD2|Henry|Hernandez|142-9416 Eget St.|Dickerson|MD|20842|(301) 234-3928|4|1|0|0|1|0|0|0|1|
95469D04-5380-4A40-75DA-7A02A5C0B5B4|Holly|Bennett|7961 Sollicitudin Rd.|Montgomery Village|MD|20886|(301) 862-5316|4|0|1|1|0|0|0|1|0|
26C74664-33F6-C578-2365-8BC533FEFC4C|Jonas|Mayer|Ap #870-4177 Mollis. St.|Silver Spring|MD|20904|(301) 846-0351|4|1|0|1|0|0|0|1|1|
"7F89736C-CA98-4579-98C4-BD9ED67B28D7|Benedict|Cochran|P.O. Box 376, 9552 Magna. St.|Barnesville|MD|20838|(301) 541-9325|1|1|0|0|0|1|1|1|1|"
96E911B9-32AA-9B2F-C8AD-23CF6EC11575|Kuame|Mccoy|963 Molestie Street|Highland|MD|20777|(301) 813-2883|2|1|1|0|0|0|1|1|1|
"6283FA76-E2D3-EE43-85B2-AE9BE247D678|Tana|Fuentes|P.O. Box 113, 1947 Facilisis, St.|Brookeville|MD|20833|(301) 947-3485|1|1|1|0|1|0|1|0|0|"
"204C4E2F-E1C4-7B0C-741E-D09AE0FDD27B|Sean|Francis|P.O. Box 134, 3553 Sodales Rd.|Germantown|MD|20874|(301) 731-6366|5|1|1|0|0|1|1|0|1|"
FD4F94FE-7874-27E9-22D9-60D6CB03BE0C|Anjolie|Doyle|3752 Quam. Rd.|Potomac|MD|20854|(301) 689-7886|5|0|1|0|0|1|1|1|1|
F5C10BFC-33D7-126B-EA1D-36BDFF01BFED|Dean|Sargent|9533 Suspendisse Rd.|Boyds|MD|20841|(301) 530-1982|3|1|0|1|1|0|1|0|1|
2B692699-21F7-F491-024E-AA19295040BA|Yoko|Prince|377-7172 Tincidunt Street|Silver Spring|MD|20902|(301) 627-9866|4|0|0|0|1|1|1|0|0|
"259B29EE-D4F5-0870-D2BC-5EBFFA51410C|Candace|Christian|P.O. Box 472, 2766 Felis Road|Takoma Park|MD|20912|(301) 484-2126|2|1|1|0|0|0|0|0|0|"
9C93EEF7-BAAB-E460-FE23-53C802C9DFE3|Kane|Burgess|9970 Donec Street|Silver Spring|MD|20902|(301) 827-6979|1|1|1|0|0|0|1|1|0|
"399634BC-1242-CFAF-F9ED-3581BB7D31A3|Evan|Mcguire|P.O. Box 484, 7203 Nonummy Avenue|Rockville|MD|20850|(301) 688-2878|4|0|1|1|0|0|0|0|0|"
EAB103C3-7E27-03CB-6613-74A28BB2EC2C|Donna|Keller|5433 Mauris Rd.|Kensington|MD|20895|(301) 338-7828|3|1|1|0|1|1|1|1|0|
FEE3620A-08B3-FD96-46B2-FE50F3A62ED4|Justin|Santiago|8096 Sed Ave|Cabin John|MD|20818|(301) 478-4060|5|0|0|0|0|0|1|1|1|
355982E4-F836-DD88-5F16-152DBB2CF6B0|Aileen|Giles|538-1206 Facilisis Ave|Rockville|MD|20851|(301) 478-4363|5|0|0|0|0|0|1|1|1|
"3FE093E7-45E3-F026-E796-A2584A793F05|Hanae|Park|Ap #619-4003 Eu, St.|Poolesville|MD|20837|(301) 333-3681|2|0|1|1|1|0|0|0|1|"
FE7116C4-4E47-6B11-52C2-A44D04A151D8|Melissa|Bryant|Ap #217-1438 Velit. St.|Brookeville|MD|20833|(301) 998-5686|4|0|0|0|0|1|0|0|0|
326CE795-01AD-E673-55D2-08D1E8C10A9C|Flynn|Whitney|963-5883 Et St.|Dickerson|MD|20842|(301) 343-6384|5|0|1|0|1|1|1|0|0|
"D4D5BABC-E9B3-1B99-E4B5-C8BDDDD0AC16|Ahmed|Lowe|P.O. Box 185, 8582 Ut Av.|Olney|MD|20832|(301) 390-4493|5|1|0|1|0|1|0|0|1|"
4DB7F085-B098-F09B-A030-442663023DFD|Griffin|Klein|Ap #828-2941 Ligula Av.|Brookeville|MD|20833|(301) 795-8014|4|0|0|0|1|1|0|1|1|
